"opportunity_id","deal_stage","engage_date","close_date","close_month","sales_agent","manager","regional_office","product","series","sales_price","account","sector","office_location","account_revenue_m","employees","is_closed","is_won","close_value","sales_cycle_days","discount_pct","account_known","account_enriched"
"1C1I7A6R","Won",2016-10-20,2017-03-01,"2017-03","Moses Frase","Dustin Brinkmann","Central","GTX Plus Basic","GTX",1096,"Cancity","retail","United States",718.62,2448,TRUE,1,1054,132,0.0383211678832117,1,1
"Z063OYW0","Won",2016-10-25,2017-03-11,"2017-03","Darcel Schlecht","Melvin Marxen","Central","GTX Pro","GTX",4821,"Isdom","medical","United States",3178.24,4540,TRUE,1,4514,137,0.063679734494918,1,1
"EC4QE1BX","Won",2016-10-25,2017-03-07,"2017-03","Darcel Schlecht","Melvin Marxen","Central","MG Special","MG",55,"Cancity","retail","United States",718.62,2448,TRUE,1,50,133,0.0909090909090909,1,1
"MV1LWRNH","Won",2016-10-25,2017-03-09,"2017-03","Moses Frase","Dustin Brinkmann","Central","GTX Basic","GTX",550,"Codehow","software","United States",2714.9,2641,TRUE,1,588,135,-0.0690909090909091,1,1
"PE84CX4O","Won",2016-10-25,2017-03-02,"2017-03","Zane Levy","Summer Sewald","West","GTX Basic","GTX",550,"Hatfan","services","United States",792.46,1299,TRUE,1,517,128,0.0600000000000001,1,1
"ZNBS69V1","Won",2016-10-29,2017-03-01,"2017-03","Anna Snelling","Dustin Brinkmann","Central","MG Special","MG",55,"Ron-tech","medical","United States",3922.42,6837,TRUE,1,49,123,0.109090909090909,1,1
"9ME3374G","Won",2016-10-30,2017-03-02,"2017-03","Vicki Laflamme","Celia Rouche","West","MG Special","MG",55,"J-Texon","retail","United States",1388.67,3583,TRUE,1,57,123,-0.0363636363636364,1,1
"7GN8Q4LL","Won",2016-11-01,2017-03-07,"2017-03","Markita Hansen","Celia Rouche","West","GTX Basic","GTX",550,"Cheers","entertainment","United States",4269.9,6472,TRUE,1,601,126,-0.0927272727272728,1,1
"OLK9LKZB","Won",2016-11-01,2017-03-03,"2017-03","Niesha Huffines","Melvin Marxen","Central","GTX Plus Basic","GTX",1096,"Zumgoity","medical","United States",441.08,1210,TRUE,1,1026,122,0.0638686131386861,1,1
"HAXMC4IX","Engaging",2016-11-03,,,"James Ascencio","Summer Sewald","West","MG Advanced","MG",3393,"Unknown","Unknown","Unknown",,,FALSE,0,,,,0,0
"NL3JZH1Z","Won",2016-11-04,2017-03-10,"2017-03","Anna Snelling","Dustin Brinkmann","Central","MG Special","MG",55,"Bioholding","medical","Philipines",587.34,1356,TRUE,1,53,126,0.0363636363636364,1,1
"KWVA7VR1","Lost",2016-11-04,2017-03-18,"2017-03","Gladys Colclough","Melvin Marxen","Central","GTX Pro","GTX",4821,"Genco Pura Olive Oil Company","retail","Italy",894.33,1635,TRUE,0,0,134,,1,1
"S8DX3XOU","Won",2016-11-04,2017-03-10,"2017-03","James Ascencio","Summer Sewald","West","GTX Plus Pro","GTX",5482,"Sunnamplex","marketing","Poland",894.37,1593,TRUE,1,5169,126,0.0570959503830719,1,1
"ENB2XD8G","Won",2016-11-04,2017-03-06,"2017-03","Maureen Marcano","Summer Sewald","West","GTX Plus Pro","GTX",5482,"Sonron","telecommunications","United States",1699.85,5108,TRUE,1,4631,122,0.155235315578256,1,1
"09YE9QOV","Won",2016-11-05,2017-03-11,"2017-03","Hayden Neloms","Celia Rouche","West","MG Advanced","MG",3393,"Finjob","employment","United States",2059.9,3644,TRUE,1,3393,126,0,1,1
"3F5MZNEH","Lost",2016-11-05,2017-03-03,"2017-03","Rosalina Dieter","Celia Rouche","West","MG Special","MG",55,"Sonron","telecommunications","United States",1699.85,5108,TRUE,0,0,118,,1,1
"M6WEJXC0","Won",2016-11-05,2017-03-06,"2017-03","Rosalina Dieter","Celia Rouche","West","MG Advanced","MG",3393,"Scotfind","software","United States",6354.87,16780,TRUE,1,3284,121,0.0321249631594459,1,1
"6PTR7VBR","Won",2016-11-06,2017-03-05,"2017-03","Versie Hillebrand","Dustin Brinkmann","Central","MG Special","MG",55,"Treequote","telecommunications","United States",5266.09,8595,TRUE,1,61,119,-0.109090909090909,1,1
"902REDPA","Lost",2016-11-07,2017-03-09,"2017-03","Daniell Hammack","Rocco Neubert","East","GTX Pro","GTX",4821,"Xx-zobam","entertainment","United States",3838.39,8274,TRUE,0,0,122,,1,1
"5J9CMGDV","Won",2016-11-07,2017-03-08,"2017-03","Elease Gluck","Celia Rouche","West","MG Special","MG",55,"Rantouch","telecommunications","United States",1188.42,3015,TRUE,1,46,121,0.163636363636364,1,1
"JJXRR8R6","Lost",2016-11-07,2017-03-17,"2017-03","James Ascencio","Summer Sewald","West","GTX Plus Pro","GTX",5482,"Fasehatice","retail","United States",4968.91,7523,TRUE,0,0,130,,1,1
"WF4HA5NW","Won",2016-11-07,2017-03-18,"2017-03","Moses Frase","Dustin Brinkmann","Central","MG Special","MG",55,"Ron-tech","medical","United States",3922.42,6837,TRUE,1,50,131,0.0909090909090909,1,1
"C5K2JP1H","Won",2016-11-07,2017-03-11,"2017-03","Violet Mclelland","Cara Losch","East","GTX Plus Basic","GTX",1096,"Vehement Capital Partners","finance","United States",646.1,883,TRUE,1,1014,124,0.0748175182481752,1,1
"ADRB8OMB","Won",2016-11-08,2017-03-26,"2017-03","Darcel Schlecht","Melvin Marxen","Central","GTX Basic","GTX",550,"Warephase","services","United States",2041.73,5276,TRUE,1,561,138,-0.02,1,1
"SBCR987L","Won",2016-11-10,2017-03-23,"2017-03","Kami Bicknell","Summer Sewald","West","GTX Basic","GTX",550,"Zoomit","entertainment","United States",324.19,978,TRUE,1,590,133,-0.0727272727272728,1,1
