"sales_agent","closed_deals","wins","losses","win_rate","won_revenue","median_cycle_days","adjusted_win_rate"
"Hayden Neloms",152,107,45,0.703947368421053,272111,18.5,0.692005580472277
"Maureen Marcano",213,149,64,0.699530516431925,350395,57,0.691131751629442
"Wilburn Farren",79,55,24,0.69620253164557,157640,58,0.67839463895371
"Versie Hillebrand",264,176,88,0.666666666666667,187693,34,0.663078284510049
"Cecily Lampkin",160,107,53,0.66875,229800,15,0.66286850339976
"Moses Frase",195,129,66,0.661538461538462,207182,66,0.657533402870909
"Boris Faz",153,101,52,0.660130718954248,261631,19,0.655437243966964
"James Ascencio",206,135,71,0.655339805825243,413533,51.5,0.652309388330315
"Corliss Cosme",229,150,79,0.655021834061135,421036,36,0.652297357706388
"Reed Clapper",237,155,82,0.654008438818565,438336,16,0.651479459348144
"Rosalina Dieter",110,72,38,0.654545454545455,235403,55.5,0.64960725461396
"Jonathan Berthelot",264,171,93,0.647727272727273,284886,54.5,0.646071481788961
"Rosie Papadopoulos",121,78,43,0.644628099173554,230169,37,0.642019971165261
"Kami Bicknell",272,174,98,0.639705882352941,316456,39.5,0.638890780284617
"Vicki Laflamme",347,221,126,0.636887608069164,478396,41,0.63645892744285
"Elease Gluck",126,80,46,0.634920634920635,289195,21.5,0.6342629208074
"Violet Mclelland",193,122,71,0.632124352331606,123431,57,0.632040428905625
"Darcel Schlecht",553,349,204,0.631103074141049,1153214,32,0.631123525979339
"Marty Freudenburg",194,122,72,0.628865979381443,291195,30.5,0.629218819848011
"Cassey Cress",261,163,98,0.624521072796935,450489,32,0.625240603594345
"Kary Hendrixson",335,209,126,0.623880597014925,454298,52,0.624506892180697
"Anna Snelling",336,208,128,0.619047619047619,275056,55.5,0.620068348759438
"Zane Levy",261,161,100,0.616858237547893,430068,27,0.618367751360668
"Garret Kinder",123,75,48,0.609756097560976,197773,52,0.614019710104277
"Daniell Hammack",187,114,73,0.609625668449198,364229,30,0.612649841686426
"Niesha Huffines",175,105,70,0.6,176961,49,0.60460983241929
"Gladys Colclough",232,135,97,0.581896551724138,345674,50,0.587576395595246
"Donn Cantrell",275,158,117,0.574545454545455,445860,51,0.580147592281818
"Markita Hansen",227,130,97,0.572687224669604,328792,49,0.579552590062079
"Lajuana Vencill",231,127,104,0.54978354978355,194632,61,0.559176305156913
