"opportunity_id","deal_stage","sales_agent","manager","regional_office","product","account","sales_price","engage_date","stale_days","record_completeness","priority_score","recommended_action"
"0D8Y5JA0","Prospecting","Anna Snelling","Dustin Brinkmann","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"GNN53C6D","Prospecting","Anna Snelling","Dustin Brinkmann","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"6KHIXTAD","Prospecting","Anna Snelling","Dustin Brinkmann","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"0ZG6U7MQ","Prospecting","Cecily Lampkin","Dustin Brinkmann","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"KQPNPH8A","Prospecting","Cecily Lampkin","Dustin Brinkmann","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"SGI0VM1F","Prospecting","Cecily Lampkin","Dustin Brinkmann","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"A4TA5P1B","Prospecting","Darcel Schlecht","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"KIKV29M0","Prospecting","Darcel Schlecht","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"PCXGIH9X","Prospecting","Darcel Schlecht","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"ODSFN0YA","Prospecting","Darcel Schlecht","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"6RQUXORL","Prospecting","Darcel Schlecht","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"74LCNGIK","Prospecting","Darcel Schlecht","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"28EJ0L9T","Prospecting","Darcel Schlecht","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"UH9TR8Y1","Prospecting","Darcel Schlecht","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"JVXGG70X","Prospecting","Darcel Schlecht","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"UZ7DU3D9","Prospecting","Gladys Colclough","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"73CWPT9H","Prospecting","Gladys Colclough","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"B7KZYEII","Prospecting","Gladys Colclough","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"67CBAWHG","Prospecting","Gladys Colclough","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"2WTPSQTN","Prospecting","Gladys Colclough","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"V5PKXYWS","Prospecting","Gladys Colclough","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"QN1UL4N3","Prospecting","Jonathan Berthelot","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"FW2CVY2X","Prospecting","Jonathan Berthelot","Melvin Marxen","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
"F14T88OP","Prospecting","Lajuana Vencill","Dustin Brinkmann","Central","GTX Plus Pro","Unknown",5482,,,40,81,"Complete CRM record"
